Title,Summary
"Bann","Bann, an offshoot of Woo Lae Oak in SoHo, wagers that the participatory theater and straightforward results of center-of-table grilling are bound to have an audience."
"Carnitas El Atoradero","Denisse Lina Chavez, the chef and owner of Carnitas El Atoradero, cooked carnitas in her bodega next door to growing crowds. Now, with a proper kitchen, she makes daily specials with traditional herbs and spices shipped by her sister from Mexico."
"Kaña","Tapas are the thing at this friendly, lively bar, where loud music is simply part of the milieu."
"Feeding Tree","The choices are slim near Yankee Stadium, which makes this bright little Jamaican restaurant especially welcome before a game."
"Krescendo","It is unclear why Krescendo’s chef, Elizabeth Falkner, and its owner, Nancy Puglisi, camouflaged the place so thoroughly, but it is much better than the neighborhood Italian joint it is trying to pass for."
"Feast","The concept behind Feast is to find the midpoint between the ever more esoteric tasting menus that have proliferated around town and the humble satisfactions of a smorgasbord."
"Swell Dive","Swell Dive unites Filipino and Tex-Mex, the heritages of the owners, Dennis Mendoza, born in Quezon City, outside Manila, and Autumn Stanford, from Austin, Texas."
"Craft","There are no shortcuts to excellence at this luxurious and expensive American restaurant that Tom Colicchio opened in spring 2001."
"San Matteo Pizza and Espresso Bar","A tiny spot with a roaring oven that produces outstanding Neapolitan pizzas and panuozzi sandwiches"
"Javelina","Javelina bills itself as New York’s “first authentic Tex-Mex restaurant""; if this is authentic, it’s a wonder that anybody in Texas ever goes out to eat."
"Dirt Candy","Since opening in the East Village in 2008, the chef Amanda Cohen has been waging war on the “eat your vegetables” mind-set."
"Coco Roco","When you come to this bright, pleasant restaurant on the fringe of Park Slope, you are in for some of the best Peruvian food in New York."
"Guy's American Kitchen & Bar","The kind of cooking Guy Fieri celebrates on television is treated with staggering disregard at his restaurant in Times Square. Even the nachos are unlovable."
"Benjamin Steak House","You can see — and taste — the resemblance to Peter Luger in Benjamin's juicy, sizzling porterhouses."
"Periyali","Some diners might find Periyali to be a bit of a yawn. I prefer to think of it as a pleasant sigh: None of the food wows, most of it quietly impresses."
"I Coppi","The room is warm and wonderful, the wine list is excellent and the food is good."
"Caracas Arepa Bar","An offshoot of the popular Brooklyn restaurant on the Rockaway Beach Boardwalk."
"Xi'an Famous Foods","With food from Western China, this chain’s fourth store has a few seats for hand-pulled noodles, soups and lamb burgers."
"China Grill","An elegant shrine to fusion food (and power people), the inventive menu offers endless opportunities for conversation."
"South Brooklyn Pizza","There is a bar at South Brooklyn Pizza, but no takeout, no slices and no delivery: just pizza margherita and chocolate chip cookies."
"M. Wells Dinette","This reprise of M. Wells, which operated in a tin-can diner for just over a year, is not open for dinner and seems to have scaled back the portions ever so slightly for daytime eating."
"Bad Saint","Bad Saint was built to make the best of its scarce square footage, not to handle the pressure of being one of Washington’s most sought-after restaurants. Now it has to do both, because the food prepared under columns of wok smoke is richly compelling no matter how many prior run-ins you’ve had with Filipino food."
"Picket Fence","If you can stand the cuteness of Picket Fence in Ditmas Park, or, better yet, delight in it, you're in for some good eating."
"Aureole","Aureole, is Charlie Palmer's big, sprawling series of rooms on the ground floor of the Bank of America building on 42nd Street."
"Fette Sau","At Fette Sau, Brooklyn’s newest barbecue peddler, there are real rewards for the inquisitive imbiber and good ribs too."
"Super Tacos Truck","At 96th Street and Broadway, Super Tacos makes tasty and cheap tacos and serves them late at night)."
"Orso","Pretty and pricey Italian in the theater district."
"Eleven Madison Park","Both the kitchen and the dining room staff try as hard as any to bring delight to the table with every course at Eleven Madison Park, and they succeed so often that only the most determinedly grumpy souls could resist."
"Mexicocina","At this small, cheerful storefront in the South Bronx, tacos on coarse handmade corn tortillas could take most of their Manhattan rivals in a fight. But it is the daily specials that demand the trek uptown."
"Gimme! Coffee","Gimme! Coffee has been counted among the city’s best coffee bars since it arrived in New York in 2003."
"Mr. Donahue’s","Mr. Donahue’s summons up a lost world of roast beef, honest-to-goodness gravy, side dishes that sit in their own wells on sectioned plates, and an atmosphere that seems unpremeditated."
"O Ya","Tim Cushman, the creative and prolific chef of O Ya in Boston and this spinoff in Kips Bay, breaks the rules of Japanese cuisine with mixed results."
"Mexicana Mama","The food at this colorful Mexican restaurant isn't very authentic. But it tastes good."
"Momofuku Ko","The new Momofuku Ko restaurant is not an experiment, but rather a statement of what fancy dining has become, in large part due to the influence of the original."
"456 Shanghai Cuisine","The setting is dropped-ceiling bland, but real pleasures await: outstanding soup dumplings, fried fish, cold noodles and stir-fries."
"Peep","Stefan Boublil was told to make Peep, a Thai restaurant, &quot;sexy.'' To him, that meant voyeurism."
"Toro","Toro’s food isn’t stagy or gimmicky; it's honest and thoughtful, but it can feel a bit lost in this space."
"Beast","Inventive not-so-small plates in Prospect Heights."
"Millesime","A restaurant devoted to the pleasures of the sea that manages to be both luxurious and humble, ambitious and rustic, all at once."
"Ichimura at Brushstroke","Ichimura at Brushstroke does not go out of its way to advertise itself. There is no sign on the street, and no door of its own; you enter it through Brushstroke."
"La Masseria","While you won't have the meal of your life at La Masseria in the theater district, most of your food will be good, and you will certainly eat plenty."
"Mughlai","Mughlai still offers tantalizing glimpses of the pleasures of Indian food."
"East Wind Snack Shop","East Wind Snack Shop is a modern homage to Chinatown’s bygone working-class coffee houses, cramped, dingy storefronts offering unlimited tea and limited food, with plastic fans stuttering above, strategically hung fly paper and a lot of (happy) yelling between tables."
"Point Brazil","A simply decorated, sunny Brazilian buffet."
"Sariling Atin","Past the shelves of egg cracklets and adobo-flavored corn nuts at Sariling Atin is a modest dining room, where food is ordered turo-turo (point-point) style, as in a cafeteria, and spooned into plastic-foam bowls."
"Tertulia","Beneath the noise at Tertulia, there's a terrific, casual Spanish restaurant that sees its roots in the cider bars of northern Spain."
"Tri Tip Grill","A steakhouse in miniature, it serves only one cut of beef, the namesake tri-tip."
"'Cesca","Cesca, on the Upper West Side, isn't the scene it once was. But there are still plenty of reasons to go."
"Stanton Social","The Stanton Social is the restaurant as playlist, a compendium of highlights with no allegiance to a single source of inspiration."
"Pokéworks","The Manhattan location of Pokéworks, specializing in Hawaiian poke, is the first in a planned nationwide chain."
"Karu Café","In this unassuming storefront, two chefs cook side by side, one from Paraguay, the other from Venezuela: harmony between otherwise quarreling nations. Venezuelan arepas, airy corn cakes barely a finger’s width thick, may share the table with Paraguayan chipas, dense, bulging curls of cassava flour and cornmeal fattened by cheese, eggs, milk and butter and tasting like gougères after a gravitational collapse. Karu means “to eat” in Guaraní, the indigenous language written into Paraguay’s Constitution as equal to Spanish, defying the legacy of the conquistadors."
"Above","A restaurant 21 floors above Times Square in the Hilton hotel."
"Pok Pok Phat Thai","You can go so long without eating good pad Thai that you forget what it is supposed to taste like. So the version at Pok Pok Phat Thai, on the Lower East Side, is confusing at first."
"Mumbai Xpress","Other places in town serve chaat, a vast genre of Indian snacks fueled by salt and tang, but perhaps none with the same range and single-minded devotion as Mumbai Xpress. The menu's vivid offerings testify to the wisdom of a culture that respects snacks, makes them by hand and gives them nuance, layers and colliding flavors."
"Narcissa","The chef John Fraser is known for his refined, thought-out vegetable tasting menus at Dovetail on the Upper West Side. His vegetable plates at Narcissa, in the Standard, East Village hotel, are more unbuttoned and generous."
